C00001	00190 00195 00710 00740 01100 01120 04918 04962 04964 04966 04970 04971 04972 04976 05014
C00002	00190 00195 00230 00231 00908 01100 01110 03070 04020 04066 04080 04142 04611 04721 04750 04911 04917 04930 05012 05133 05410
C00003	00190 00730 00760 01100 04152 04977
C00004	00190 01100 04020
C00005	00195 00480 01100 04918
C00006	00195 00480 00760 01100 04918
C00007	00190 00195 00630 00740 01100 01110 02020 04066 04918 05211
C00008	00190 00195 00230 00908 01100 01110 04068 04080 04142 04152 04611 05012
C00009	00190 00195 00550 01100 02010 02020 04111 04978 05012
C00010	00071 00770 01100 04725 04975 04977
C00011	00230 00260 00330 00361 00625 00630 00680 00710 00720 00791 00910 01100 01120 01200 01230 04964 04966 04970 04971 04972 04973 04974 04976
C00012	00330
C00013	00190 05012
C00014	00230 00250 00260 00330 00460 00630 00910 01100 01110 01120 01200 01230 04964 04966 04974 05110 05120
C00015	00240 00908 01100 04080
C00016	00740 01100 04977
C00017	00450
C00018	00730 00750 01100 04977
C00019	00270 00330 00908 01060 01070 01100 01110 01230 04122
C00020	00230 00908 01060 01065 01070 01100 01110 04022 04024 04068 04150 04151 04152 05012 05032
C00021	00270 01100 01230
C00022	00010 00020 00030 00040 00053 00250 00260 00270 00290 00330 00350 00360 00362 00430 00440 00473 00620 00621 00622 00630 00650 00660 00680 00710 00720 00730 00750 00760 00770 00900 01060 01061 01062 01063 01064 01065 01066 01070 01100 01110 01120 01200 01210 01220 01230 02060 04066 04152 04911 04930
C00024	00010 00020 00061 00062 00071 00072 00253 00254 00280 00290 00300 00310 00360 00362 00380 00410 00430 00480 00562 00620 00621 00622 00625 00630 00640 00642 00650 00680 00720 00900 01056 01060 01061 01062 01063 01064 01065 01066 01070 01100 01110 01120 01200 01212 01220 04066 04152 04725 04976
C00025	00250 00330 00340 00430 00471 00480 00524 00630 00650 00660 00860 00910 00970 01060 01064 01100 01110 01120 01210 01230 02010 02020 04068 04080 04540 04713 04720 04721 04723 04724 04727 04730 04742 04964 04974 05014 05016 05030 05031 05033 05034
C00026	00020 00040 00053 00250 00300 00340 00365 00430 00471 00630 00650 00660 00720 00750 01060 01061 01062 01063 01064 01065 01066 01070 01100 01110 01120 01200 01210 01230 04066 04727 04964 04976
C00027	00630 01110 04022 04380 04626 04670 04918 04940 05010 05012 05014 05020 05030 05031 05034 05146 05160 05164 05166 05204 05322
