map00010	D00123	1.2.1.3
map00010	D00131	1.2.1.3
map00053	D00123	1.2.1.3
map00053	D00131	1.2.1.3
map00061	D00144	2.3.1.85
map00071	D00123	1.2.1.3
map00071	D00131	1.2.1.3
map00120	D01134	1.3.99.5
map00150	D01134	1.3.99.5
map00150	D03107	1.3.99.5
map00150	D04035	1.1.1.51
map00150	D04498	1.3.99.5
map00220	D07883	4.1.1.17
map00230	D00168	2.7.7.7
map00230	D00211	2.7.7.6
map00230	D00220	3.5.1.5
map00230	D00222	2.7.7.7
map00230	D00273	2.7.7.7
map00230	D00317	2.7.7.7
map00230	D00333	2.7.7.7
map00230	D00342	2.7.7.7
map00230	D00391	2.7.7.7
map00230	D00398	2.7.7.7
map00230	D00406	2.7.7.7
map00230	D00423	2.7.7.48
map00230	D00424	2.7.7.6
map00230	D00579	2.7.7.7
map00230	D00879	2.7.7.6
map00230	D01633	2.7.7.7
map00230	D01651	2.7.7.7
map00230	D01734	2.7.7.7
map00230	D02124	2.7.7.7
map00230	D02267	2.7.7.7
map00230	D02495	2.7.7.7
map00230	D02764	2.7.7.7
map00230	D03046	2.7.7.7
map00230	D03086	3.5.1.5
map00230	D03256	2.7.7.7
map00230	D03537	2.7.7.7
map00230	D03637	2.7.7.7
map00230	D03690	2.7.7.7
map00230	D04008	2.7.7.7
map00230	D04234	3.5.1.5
map00230	D04301	2.7.7.7
map00230	D04757	2.7.7.7
map00230	D05250	2.7.7.7
map00230	D05407	2.7.7.7
map00230	D06275	2.7.7.7
map00230	D06298	2.7.7.7
map00230	D06299	2.7.7.7
map00230	D06300	2.7.7.7
map00230	D06651	2.7.7.48
map00230	D07249	2.7.7.7
map00230	D08479	2.7.7.6
map00230	D08664	2.7.7.7
map00240	D00168	2.7.7.7
map00240	D00211	2.7.7.6
map00240	D00222	2.7.7.7
map00240	D00224	4.1.1.23
map00240	D00273	2.7.7.7
map00240	D00317	2.7.7.7
map00240	D00333	2.7.7.7
map00240	D00342	2.7.7.7
map00240	D00391	2.7.7.7
map00240	D00398	2.7.7.7
map00240	D00406	2.7.7.7
map00240	D00424	2.7.7.6
map00240	D00579	2.7.7.7
map00240	D00879	2.7.7.6
map00240	D01633	2.7.7.7
map00240	D01651	2.7.7.7
map00240	D01734	2.7.7.7
map00240	D02124	2.7.7.7
map00240	D02267	2.7.7.7
map00240	D02495	2.7.7.7
map00240	D02764	2.7.7.7
map00240	D03034	1.8.1.9
map00240	D03046	2.7.7.7
map00240	D03256	2.7.7.7
map00240	D03537	2.7.7.7
map00240	D03637	2.7.7.7
map00240	D03690	2.7.7.7
map00240	D04008	2.7.7.7
map00240	D04301	2.7.7.7
map00240	D04757	2.7.7.7
map00240	D05250	2.7.7.7
map00240	D05407	2.7.7.7
map00240	D06275	2.7.7.7
map00240	D06298	2.7.7.7
map00240	D06299	2.7.7.7
map00240	D06300	2.7.7.7
map00240	D07249	2.7.7.7
map00240	D07564	4.1.1.23
map00240	D08479	2.7.7.6
map00240	D08664	2.7.7.7
map00252	D00877	5.1.1.1
map00280	D00123	1.2.1.3
map00280	D00131	1.2.1.3
map00290	D01076	6.1.1.5
map00290	D02195	6.1.1.5
map00310	D00123	1.2.1.3
map00310	D00131	1.2.1.3
map00311	D02503	3.5.2.6
map00311	D03707	3.5.2.6
map00330	D00123	1.2.1.3
map00330	D00131	1.2.1.3
map00330	D00220	3.5.1.5
map00330	D03086	3.5.1.5
map00330	D04234	3.5.1.5
map00330	D04793	1.14.11.2
map00340	D00123	1.2.1.3
